Dokument_ID	Nachname	Vorname	Pseudonym	Gender	Titel	Untertitel_im_Text	Untertitel_im_Inhaltsverzeichnis	Jahr_ED	entstanden	Gattungslabel_ED	Gattungslabel_ED_normalisiert	Medium_ED	Medientyp_ED	Hg.	Kanon_Status	Nummer im Heft (ab 00797: 1 erste Position. 0 nicht erste Position)	seriell	Seiten	Medium_Zweitdruck	Jahr_Zweitdruck	Label_Zweitdruck	Medium_Drittdruck	Jahr_Drittdruck	Label_Drittdruck	in_Deutscher_Novellenschatz_(Heyse)	in_Pantheon	in_RUB_Sammlung	in_B-v-Wiese	Verantwortlich_Erfassung	falls andere Quelle	Herkunft_Prätext_lt_Paratext	Wahrheitsbeglaubigung_lt_Paratext	Bearbeitungsqualität	ist_spätere_Fassung_von	UrhGeschBis	falls_Episode_als_Ganztext_erfasst	Kontrafaktizität_annotiert
00805-03	Blüthgen	Victor		m	Aus gährender Zeit	Erzählung von Victor Blüthgen	Von Victor Blüthgen	1877		E	E	Die Gartenlaube	Familienblatt	Ernst Keil	2	1	TRUE	41-44	Aus gärender Zeit. Roman von Victor Blüthgen. 2 Bde.	1884	R	Aus gärender Zeit. Roman von Victor Blüthgen	1901	R			RUB 4232-4235		Martin Ruhl								
00805-04	Blüthgen	Victor		m	Aus gährender Zeit	Erzählung von Victor Blüthgen	Von Victor Blüthgen	1877		E	E	Die Gartenlaube	Familienblatt	Ernst Keil	2	0	TRUE	72-75	Aus gärender Zeit. Roman von Victor Blüthgen. 2 Bde.	1884	R	Aus gärender Zeit. Roman von Victor Blüthgen	1901	R			RUB 4232-4235		Martin Ruhl								
00805-05	Blüthgen	Victor		m	Aus gährender Zeit	Erzählung von Victor Blüthgen	Von Victor Blüthgen	1877		E	E	Die Gartenlaube	Familienblatt	Ernst Keil	2	0	TRUE	86-88	Aus gärender Zeit. Roman von Victor Blüthgen. 2 Bde.	1884	R	Aus gärender Zeit. Roman von Victor Blüthgen	1901	R			RUB 4232-4235		Martin Ruhl								
00805-06	Blüthgen	Victor		m	Aus gährender Zeit	Erzählung von Victor Blüthgen	Von Victor Blüthgen	1877		E	E	Die Gartenlaube	Familienblatt	Ernst Keil	2	1	TRUE	93-96	Aus gärender Zeit. Roman von Victor Blüthgen. 2 Bde.	1884	R	Aus gärender Zeit. Roman von Victor Blüthgen	1901	R			RUB 4232-4235		Martin Ruhl								
00805-07	Blüthgen	Victor		m	Aus gährender Zeit	Erzählung von Victor Blüthgen	Von Victor Blüthgen	1877		E	E	Die Gartenlaube	Familienblatt	Ernst Keil	2	1	TRUE	109-112	Aus gärender Zeit. Roman von Victor Blüthgen. 2 Bde.	1884	R	Aus gärender Zeit. Roman von Victor Blüthgen	1901	R			RUB 4232-4235		Martin Ruhl								
00805-08	Blüthgen	Victor		m	Aus gährender Zeit	Erzählung von Victor Blüthgen	Von Victor Blüthgen	1877		E	E	Die Gartenlaube	Familienblatt	Ernst Keil	2	1	TRUE	125-128	Aus gärender Zeit. Roman von Victor Blüthgen. 2 Bde.	1884	R	Aus gärender Zeit. Roman von Victor Blüthgen	1901	R			RUB 4232-4235		Martin Ruhl								
00805-09	Blüthgen	Victor		m	Aus gährender Zeit	Erzählung von Victor Blüthgen	Von Victor Blüthgen	1877		E	E	Die Gartenlaube	Familienblatt	Ernst Keil	2	1	TRUE	141-144	Aus gärender Zeit. Roman von Victor Blüthgen. 2 Bde.	1884	R	Aus gärender Zeit. Roman von Victor Blüthgen	1901	R			RUB 4232-4235		Martin Ruhl								
00805-10	Blüthgen	Victor		m	Aus gährender Zeit	Erzählung von Victor Blüthgen	Von Victor Blüthgen	1877		E	E	Die Gartenlaube	Familienblatt	Ernst Keil	2	1	TRUE	157-160	Aus gärender Zeit. Roman von Victor Blüthgen. 2 Bde.	1884	R	Aus gärender Zeit. Roman von Victor Blüthgen	1901	R			RUB 4232-4235		Martin Ruhl								
00805-11	Blüthgen	Victor		m	Aus gährender Zeit	Erzählung von Victor Blüthgen	Von Victor Blüthgen	1877		E	E	Die Gartenlaube	Familienblatt	Ernst Keil	2	1	TRUE	173-176	Aus gärender Zeit. Roman von Victor Blüthgen. 2 Bde.	1884	R	Aus gärender Zeit. Roman von Victor Blüthgen	1901	R			RUB 4232-4235		Martin Ruhl								
00805-12	Blüthgen	Victor		m	Aus gährender Zeit	Erzählung von Victor Blüthgen	Von Victor Blüthgen	1877		E	E	Die Gartenlaube	Familienblatt	Ernst Keil	2	1	TRUE	189-192	Aus gärender Zeit. Roman von Victor Blüthgen. 2 Bde.	1884	R	Aus gärender Zeit. Roman von Victor Blüthgen	1901	R			RUB 4232-4235		Martin Ruhl								
00805-13	Blüthgen	Victor		m	Aus gährender Zeit	Erzählung von Victor Blüthgen	Von Victor Blüthgen	1877		E	E	Die Gartenlaube	Familienblatt	Ernst Keil	2	1	TRUE	205-208	Aus gärender Zeit. Roman von Victor Blüthgen. 2 Bde.	1884	R	Aus gärender Zeit. Roman von Victor Blüthgen	1901	R			RUB 4232-4235		Martin Ruhl								
00805-14	Blüthgen	Victor		m	Aus gährender Zeit	Erzählung von Victor Blüthgen	Von Victor Blüthgen	1877		E	E	Die Gartenlaube	Familienblatt	Ernst Keil	2	1	TRUE	221-224	Aus gärender Zeit. Roman von Victor Blüthgen. 2 Bde.	1884	R	Aus gärender Zeit. Roman von Victor Blüthgen	1901	R			RUB 4232-4235		Martin Ruhl								
00805-15	Blüthgen	Victor		m	Aus gährender Zeit	Erzählung von Victor Blüthgen	Von Victor Blüthgen	1877		E	E	Die Gartenlaube	Familienblatt	Ernst Keil	2	1	TRUE	241-244	Aus gärender Zeit. Roman von Victor Blüthgen. 2 Bde.	1884	R	Aus gärender Zeit. Roman von Victor Blüthgen	1901	R			RUB 4232-4235		Martin Ruhl								
00805-16	Blüthgen	Victor		m	Aus gährender Zeit	Erzählung von Victor Blüthgen	Von Victor Blüthgen	1877		E	E	Die Gartenlaube	Familienblatt	Ernst Keil	2	1	TRUE	257-260	Aus gärender Zeit. Roman von Victor Blüthgen. 2 Bde.	1884	R	Aus gärender Zeit. Roman von Victor Blüthgen	1901	R			RUB 4232-4235		Martin Ruhl								
00805-17	Blüthgen	Victor		m	Aus gährender Zeit	Erzählung von Victor Blüthgen	Von Victor Blüthgen	1877		E	E	Die Gartenlaube	Familienblatt	Ernst Keil	2	1	TRUE	273-278	Aus gärender Zeit. Roman von Victor Blüthgen. 2 Bde.	1884	R	Aus gärender Zeit. Roman von Victor Blüthgen	1901	R			RUB 4232-4235		Martin Ruhl								
00805-18	Blüthgen	Victor		m	Aus gährender Zeit	Erzählung von Victor Blüthgen	Von Victor Blüthgen	1877		E	E	Die Gartenlaube	Familienblatt	Ernst Keil	2	0	TRUE	306-308	Aus gärender Zeit. Roman von Victor Blüthgen. 2 Bde.	1884	R	Aus gärender Zeit. Roman von Victor Blüthgen	1901	R			RUB 4232-4235		Martin Ruhl								
00805-19	Blüthgen	Victor		m	Aus gährender Zeit	Erzählung von Victor Blüthgen	Von Victor Blüthgen	1877		E	E	Die Gartenlaube	Familienblatt	Ernst Keil	2	1	TRUE	309-312	Aus gärender Zeit. Roman von Victor Blüthgen. 2 Bde.	1884	R	Aus gärender Zeit. Roman von Victor Blüthgen	1901	R			RUB 4232-4235		Martin Ruhl								
00805-20	Blüthgen	Victor		m	Aus gährender Zeit	Erzählung von Victor Blüthgen	Von Victor Blüthgen	1877		E	E	Die Gartenlaube	Familienblatt	Ernst Keil	2	0	TRUE	336-340	Aus gärender Zeit. Roman von Victor Blüthgen. 2 Bde.	1884	R	Aus gärender Zeit. Roman von Victor Blüthgen	1901	R			RUB 4232-4235		Martin Ruhl								
00805-21	Blüthgen	Victor		m	Aus gährender Zeit	Erzählung von Victor Blüthgen	Von Victor Blüthgen	1877		E	E	Die Gartenlaube	Familienblatt	Ernst Keil	2	1	TRUE	341-346	Aus gärender Zeit. Roman von Victor Blüthgen. 2 Bde.	1884	R	Aus gärender Zeit. Roman von Victor Blüthgen	1901	R			RUB 4232-4235		Martin Ruhl								
00805-22	Blüthgen	Victor		m	Aus gährender Zeit	Erzählung von Victor Blüthgen	Von Victor Blüthgen	1877		E	E	Die Gartenlaube	Familienblatt	Ernst Keil	2	0	TRUE	370-372	Aus gärender Zeit. Roman von Victor Blüthgen. 2 Bde.	1884	R	Aus gärender Zeit. Roman von Victor Blüthgen	1901	R			RUB 4232-4235		Martin Ruhl								
00805-23	Blüthgen	Victor		m	Aus gährender Zeit	Erzählung von Victor Blüthgen	Von Victor Blüthgen	1877		E	E	Die Gartenlaube	Familienblatt	Ernst Keil	2	0	TRUE	390-392	Aus gärender Zeit. Roman von Victor Blüthgen. 2 Bde.	1884	R	Aus gärender Zeit. Roman von Victor Blüthgen	1901	R			RUB 4232-4235		Martin Ruhl								
00805-24	Blüthgen	Victor		m	Aus gährender Zeit	Erzählung von Victor Blüthgen	Von Victor Blüthgen	1877		E	E	Die Gartenlaube	Familienblatt	Ernst Keil	2	0	TRUE	405-410	Aus gärender Zeit. Roman von Victor Blüthgen. 2 Bde.	1884	R	Aus gärender Zeit. Roman von Victor Blüthgen	1901	R			RUB 4232-4235		Martin Ruhl								
00806-00	Poe	Edgar Allan	Edgar A. Poe	m	The Mask of the Red Death	A Fantasy		1842		Tale_Rubrik	0E	Graham's Magazine	(unbekannt)	George R. Graham	3		FALSE	257-259											Martin Ruhl								
00807-00	Storm	Theodor		m	Draußen im Haidedorf	Erzählung von Theodor Storm	Erzählung von Theodor Storm	1872		E	E	Der Salon für Literatur, Kunst und Gesellschaft	(unbekannt)	Julius Rodenberg	2		FALSE	129-151											Martin Ruhl	zeno							TRUE
00808-00	Poe	Edgar Allan	Edgar A. Poe	m	The Black Cat	Written for the United States Saturday Post, by Edgar A. Poe		1843		Tale_Rubrik	0E	United States Saturday Post	Zeitschrift	Samuel D. Patterson & Co. Publishers	2		FALSE	1. Spalte 1-3											Martin Ruhl								
00809-00	Poe	Edgar Allan	Edgar A. Poe	m	The Cask of Amontillado	by Edgar A. Poe	by Edgar A. Poe	1846		Tale_Rubrik	0E	Godey's Lady's Book & American Magazine	(unbekannt)	Louis A. Godey	2		FALSE	216-218											Martin Ruhl								
00810-00	Storm	Theodor		m	Im Saal			1848		(unbekannt)	0E	Volksbuch für das Jahr 1849 für Schleswig, Holstein und Lauenburg	Taschenbuch	Karl Leonhard Biernatzki	2		FALSE	65-70	Sommer-Geschichten und Lieder	1851	Geschichte	Im Sonnenschein. Drei Sommergeschichten	1854	Geschichte					Martin Ruhl	Wikisource							
00811-00	Hoffmann	E. T. A.		m	Die Abentheuer der Sylvester-Nacht			1815		0E	0E	Fantasiestücke in Callot's Manier, Bd. 4	Anthologie	Verlag: C. F. Kunz	2		FALSE	S. 1-104	Fantasiestücke in Callot's Manier. Zweite, durchgesehenes Auflage, Zweiter Theil	1819		Fantasiestücke in Callot's Manier. Dritte Auflage, Zweiter Theil	1825						Martin Ruhl	Wikisource							1
00812-00	Poe	Edgar Allan		m	Die Maske des roten Todes			1842		0E	0E				3		FALSE								FALSE				Martin Ruhl	zeno				00806-00			
00813-00	Poe 	Edgar Allan		m	Die schwarze Katze			1861		0E	0E	Unbegreifliche Ereignisse und geheimnisvolle Thaten. In achtzehen der merkwürdigsten Erzählungen des Amerikaners Edgar Allan Poe	Anthologie	Verlag: J. Scheible	3		FALSE	246-268							FALSE				Martin Ruhl	zeno				00808-00			1
00814-00	Poe 	Edgar Allan		m	Das Fass Amontillado			1861		0E	0E	Unbegreifliche Ereignisse und geheimnisvolle Thaten. In achtzehen der merkwürdigsten Erzählungen des Amerikaners Edgar Allan Poe	Anthologie	Verlag: J. Scheible	3		FALSE	409-424							FALSE				Martin Ruhl	zeno				00809-00			1
00815-00	Hebbel	Friedrich	F. Hebbel	m	Matteo	Novelle von Friedrich Hebbel	Von F. Hebbel	1841		N	N	Morgenblatt für gebildete Leser	Zeitschrift	Verlag: J. G. Cotta'sche Buchhandlung	2		TRUE		Rosen und Dornen. Eine Sammelschrift interessanter Erzählungen, Skizzen, Novellen und gesellschaftlicher Ereignisse neuerer Zeit	1842	N	Friedrich Hebbel. Erzählungen und Novellen	1855	E_N					Martin Ruhl	zeno							
00815-01	Hebbel	Friedrich	F. Hebbel	m	Matteo	Novelle von Friedrich Hebbel	Von F. Hebbel	1841		N	N	Morgenblatt für gebildete Leser	Zeitschrift	Verlag: J. G. Cotta'sche Buchhandlung	2	1	TRUE	449-450	Rosen und Dornen. Eine Sammelschrift interessanter Erzählungen, Skizzen, Novellen und gesellschaftlicher Ereignisse neuerer Zeit	1842	N	Friedrich Hebbel. Erzählungen und Novellen	1855	E_N					Martin Ruhl	zeno							
00815-02	Hebbel	Friedrich	F. Hebbel	m	Matteo	Novelle von Friedrich Hebbel	Von F. Hebbel	1841		N	N	Morgenblatt für gebildete Leser	Zeitschrift	Verlag: J. G. Cotta'sche Buchhandlung	2	0	TRUE	455-456	Rosen und Dornen. Eine Sammelschrift interessanter Erzählungen, Skizzen, Novellen und gesellschaftlicher Ereignisse neuerer Zeit	1842	N	Friedrich Hebbel. Erzählungen und Novellen	1855	E_N					Martin Ruhl	zeno							
00815-03	Hebbel	Friedrich	F. Hebbel	m	Matteo	Novelle von Friedrich Hebbel	Von F. Hebbel	1841		N	N	Morgenblatt für gebildete Leser	Zeitschrift	Verlag: J. G. Cotta'sche Buchhandlung	2	1	TRUE	457-458	Rosen und Dornen. Eine Sammelschrift interessanter Erzählungen, Skizzen, Novellen und gesellschaftlicher Ereignisse neuerer Zeit	1842	N	Friedrich Hebbel. Erzählungen und Novellen	1855	E_N					Martin Ruhl	zeno							
00815-03	Hebbel	Friedrich	F. Hebbel	m	Matteo	Novelle von Friedrich Hebbel	Von F. Hebbel	1841		N	N	Morgenblatt für gebildete Leser	Zeitschrift	Verlag: J. G. Cotta'sche Buchhandlung	2	0	TRUE	463-464	Rosen und Dornen. Eine Sammelschrift interessanter Erzählungen, Skizzen, Novellen und gesellschaftlicher Ereignisse neuerer Zeit	1842	N	Friedrich Hebbel. Erzählungen und Novellen	1855	E_N					Martin Ruhl	zeno							
00816-00	Hebbel	Friedrich	F. Hebbel	m	Die Nacht im Jägerhause	Erzählung von Fr. Hebbel	Von F. Hebbel	1842		E	E	Morgenblatt für gebildete Leser	Zeitschrift	Verlag: J. G. Cotta'sche Buchhandlung	2		TRUE		Der Spiegel für Kunst, Eleganz und Mode	1842	E	Der Hamburger Beobachter und das Archiv für Wissenschaften und Künste	1842	E					Martin Ruhl	Gutenberg							1
00816-01	Hebbel	Friedrich	F. Hebbel	m	Die Nacht im Jägerhause	Erzählung von Fr. Hebbel	Von F. Hebbel	1842		E	E	Morgenblatt für gebildete Leser	Zeitschrift	Verlag: J. G. Cotta'sche Buchhandlung	2	1	TRUE	109-110	Der Spiegel für Kunst, Eleganz und Mode	1842	E	Der Hamburger Beobachter und das Archiv für Wissenschaften und Künste	1842	E					Martin Ruhl	Gutenberg							
00816-02	Hebbel	Friedrich	F. Hebbel	m	Die Nacht im Jägerhause	Erzählung von Fr. Hebbel	Von F. Hebbel	1842		E	E	Morgenblatt für gebildete Leser	Zeitschrift	Verlag: J. G. Cotta'sche Buchhandlung	2	0	TRUE	114-115	Der Spiegel für Kunst, Eleganz und Mode	1842	E	Der Hamburger Beobachter und das Archiv für Wissenschaften und Künste	1842	E					Martin Ruhl	Gutenberg							
00816-03	Hebbel	Friedrich	F. Hebbel	m	Die Nacht im Jägerhause	Erzählung von Fr. Hebbel	Von F. Hebbel	1842		E	E	Morgenblatt für gebildete Leser	Zeitschrift	Verlag: J. G. Cotta'sche Buchhandlung	2	0	TRUE	118-119	Der Spiegel für Kunst, Eleganz und Mode	1842	E	Der Hamburger Beobachter und das Archiv für Wissenschaften und Künste	1842	E					Martin Ruhl	Gutenberg							
00816-04	Hebbel	Friedrich	F. Hebbel	m	Die Nacht im Jägerhause	Erzählung von Fr. Hebbel	Von F. Hebbel	1842		E	E	Morgenblatt für gebildete Leser	Zeitschrift	Verlag: J. G. Cotta'sche Buchhandlung	2	0	TRUE	122-123	Der Spiegel für Kunst, Eleganz und Mode	1842	E	Der Hamburger Beobachter und das Archiv für Wissenschaften und Künste	1842	E					Martin Ruhl	Gutenberg							
00817-00	Hebbel	Friedrich		m	Herr Haidvogel und seine Familie	Novelle von Freidrich Hebbel	Novelle von Freidrich Hebbel	1848		N	N	Poetische Bilder aus der Zeit. Band 2	Taschenbuch	Arnold Ruge	2		FALSE	67-93	Moderne Klassiker. Deutsche Literaturgeschichte der neueren Zeit in Biographien, Kritiken und Proben. Band 51	1854	N	Friedrich Hebbel. Erzählungen und Novellen	1855	E_N					Martin Ruhl	Gutenberg							1
00818-00	Arnim	Ludwig Achim von	L. Achim v. Arnim	m	Frau von Saverne	Von L. Achim v. Arnim		1817		0E	0E	Der Gesellschafter oder Blätter für Geist und Herz	Zeitschrift	F. W. Gubitz	2		TRUE		Ludwig Achim's von Arnim sämmtliche Werke. Zehnter Band	1841	E	Ausgewählte Novellen Ludw. Achim v Arnim. Zweiter Theil	1853	N					Martin Ruhl	Gutenberg							1
00818-01	Arnim	Ludwig Achim von	L. Achim v. Arnim	m	Frau von Saverne	Von L. Achim v. Arnim		1817		0E	0E	Der Gesellschafter oder Blätter für Geist und Herz	Zeitschrift	F. W. Gubitz	2	1	TRUE	697-698	Ludwig Achim's von Arnim sämmtliche Werke. Zehnter Band	1841	E	Ausgewählte Novellen Ludw. Achim v Arnim. Zweiter Theil	1853	N					Martin Ruhl	Gutenberg							
00818-02	Arnim	Ludwig Achim von	L. Achim v. Arnim	m	Frau von Saverne	Von L. Achim v. Arnim		1817		0E	0E	Der Gesellschafter oder Blätter für Geist und Herz	Zeitschrift	F. W. Gubitz	2	1	TRUE	701-702	Ludwig Achim's von Arnim sämmtliche Werke. Zehnter Band	1841	E	Ausgewählte Novellen Ludw. Achim v Arnim. Zweiter Theil	1853	N					Martin Ruhl	Gutenberg							
00818-03	Arnim	Ludwig Achim von	L. Achim v. Arnim	m	Frau von Saverne	Von L. Achim v. Arnim		1817		0E	0E	Der Gesellschafter oder Blätter für Geist und Herz	Zeitschrift	F. W. Gubitz	2	0	TRUE	706-707	Ludwig Achim's von Arnim sämmtliche Werke. Zehnter Band	1841	E	Ausgewählte Novellen Ludw. Achim v Arnim. Zweiter Theil	1853	N					Martin Ruhl	Gutenberg							
00818-04	Arnim	Ludwig Achim von	L. Achim v. Arnim	m	Frau von Saverne	Von L. Achim v. Arnim	V. L. Achim v. Arnim	1817		0E	0E	Der Gesellschafter oder Blätter für Geist und Herz	Zeitschrift	F. W. Gubitz	2	0	TRUE	710-711	Ludwig Achim's von Arnim sämmtliche Werke. Zehnter Band	1841	E	Ausgewählte Novellen Ludw. Achim v Arnim. Zweiter Theil	1853	N					Martin Ruhl	Gutenberg							
00819-00	Gerstäcker	Friedrich		m	Im Busch	Von Friedrich Gerstäcker	Von Friedrich Gerstäcker	1859		Beschreibende_und_geschichtliche_Aufsätze_Rubrik	0E	Die Gartenlaube	Familienblatt	Ernst Keil	1		TRUE		"Inselwelt. Gesammelte Erzählungen von Friedrich Gerstäcker. Zweiter Band. Australische Skizzen (unter dem Titel ""John Mulligan"")"	1860	E								Martin Ruhl								
00819-01	Gerstäcker	Friedrich		m	Im Busch	Von Friedrich Gerstäcker	Von Friedrich Gerstäcker	1859		Beschreibende_und_geschichtliche_Aufsätze_Rubrik	0E	Die Gartenlaube	Familienblatt	Ernst Keil	1	1	TRUE	265-268	"Inselwelt. Gesammelte Erzählungen von Friedrich Gerstäcker. Zweiter Band. Australische Skizzen (unter dem Titel ""John Mulligan"")"	1860	E								Martin Ruhl								
00819-02	Gerstäcker	Friedrich		m	Im Busch	Von Friedrich Gerstäcker	Von Friedrich Gerstäcker	1859		Beschreibende_und_geschichtliche_Aufsätze_Rubrik	0E	Die Gartenlaube	Familienblatt	Ernst Keil	1	0	TRUE	288-291	"Inselwelt. Gesammelte Erzählungen von Friedrich Gerstäcker. Zweiter Band. Australische Skizzen (unter dem Titel ""John Mulligan"")"	1860	E								Martin Ruhl								
00819-03	Gerstäcker	Friedrich		m	Im Busch	Von Friedrich Gerstäcker	Von Friedrich Gerstäcker	1859		Beschreibende_und_geschichtliche_Aufsätze_Rubrik	0E	Die Gartenlaube	Familienblatt	Ernst Keil	1	0	TRUE	303-304	"Inselwelt. Gesammelte Erzählungen von Friedrich Gerstäcker. Zweiter Band. Australische Skizzen (unter dem Titel ""John Mulligan"")"	1860	E								Martin Ruhl								
00819-04	Gerstäcker	Friedrich		m	Im Busch	Von Friedrich Gerstäcker	Von Friedrich Gerstäcker	1859		Beschreibende_und_geschichtliche_Aufsätze_Rubrik	0E	Die Gartenlaube	Familienblatt	Ernst Keil	1	1	TRUE	305-308	"Inselwelt. Gesammelte Erzählungen von Friedrich Gerstäcker. Zweiter Band. Australische Skizzen (unter dem Titel ""John Mulligan"")"	1860	E								Martin Ruhl								
00820-00	Gerstäcker	Friedrich		m	Die Känguruh-Insel	Australische Skizze von Friedrich Gerstäcker	II. Von Fried. Gerstäcker	1857		Skizze	0E	Illustriertes Familienbuch zur Unterhaltung & Belehrung häuslicher Kreise	Familienblatt	Lloyd	1		FALSE	325-344	Der Bayerische Landbote	1857	Skizze	"Inselwelt. Gesammelte Erzählungen von Friedrich Gerstäcker. Zweiter Band. Australische Skizzen (unter dem Titel ""John Mulligan"")"	1860	E					Martin Ruhl	Gutenberg							1
00821-00	Gerstäcker	Friedrich		m	Die Flucht	(unbekannt)	(unbekannt)	1870		0E_unknown	0E	(unbekannt)	(unbekannt)	(unbekannt)	1		(unbekannt)		"Inselwelt. Gesammelte Erzählungen von Friedrich Gerstäcker. Zweiter Band. Australische Skizzen (unter dem Titel ""John Mulligan"")"	1860	E								Martin Ruhl	Gutenberg							1
00822-00	Meier	Emma	Hans Warring	f	Hohe Fluth	Erzählung von Hans Warring	Von Hans Warring	1877		E	E	Die Gartenlaube	Familienblatt	Ernst Keil	0		TRUE												Martin Ruhl								
00822-01	Meier	Emma	Hans Warring	f	Hohe Fluth	Erzählung von Hans Warring	Von Hans Warring	1877		E	E	Die Gartenlaube	Familienblatt	Ernst Keil	0	1	TRUE	57-62											Martin Ruhl								
00822-02	Meier	Emma	Hans Warring	f	Hohe Fluth	Erzählung von Hans Warring	Von Hans Warring	1877		E	E	Die Gartenlaube	Familienblatt	Ernst Keil	0	1	TRUE	77-82											Martin Ruhl								
00822-03	Meier	Emma	Hans Warring	f	Hohe Fluth	Erzählung von Hans Warring	Von Hans Warring	1877		E	E	Die Gartenlaube	Familienblatt	Ernst Keil	0	0	TRUE	106-108											Martin Ruhl								
00822-04	Meier	Emma	Hans Warring	f	Hohe Fluth	Erzählung von Hans Warring	Von Hans Warring	1877		E	E	Die Gartenlaube	Familienblatt	Ernst Keil	0	0	TRUE	120-123											Martin Ruhl								
00823-00	Linz	Amélie	A. Godin	f	Eine schwarze Kugel	Erzählung von A. Godin	Von A. Godin	1877		E	E	Die Gartenlaube	Familienblatt	Ernst Keil	2		TRUE		Schicksale. Neue Novellen	1881	N	Neuer Deutscher Novellenschatz. Bd. 14	1886	N					Martin Ruhl								
00823-01	Linz	Amélie	A. Godin	f	Eine schwarze Kugel	Erzählung von A. Godin	Von A. Godin	1877		E	E	Die Gartenlaube	Familienblatt	Ernst Keil	2	0	TRUE	287-291	Schicksale. Neue Novellen	1881	N	Neuer Deutscher Novellenschatz. Bd. 14	1886	N					Martin Ruhl								
00823-02	Linz	Amélie	A. Godin	f	Eine schwarze Kugel	Erzählung von A. Godin	Von A. Godin	1877		E	E	Die Gartenlaube	Familienblatt	Ernst Keil	2	1	TRUE	293-296	Schicksale. Neue Novellen	1881	N	Neuer Deutscher Novellenschatz. Bd. 14	1886	N					Martin Ruhl								
00823-03	Linz	Amélie	A. Godin	f	Eine schwarze Kugel	Erzählung von A. Godin	Von A. Godin	1877		E	E	Die Gartenlaube	Familienblatt	Ernst Keil	2	0	TRUE	320-324	Schicksale. Neue Novellen	1881	N	Neuer Deutscher Novellenschatz. Bd. 14	1886	N					Martin Ruhl								
00823-04	Linz	Amélie	A. Godin	f	Eine schwarze Kugel	Erzählung von A. Godin	Von A. Godin	1877		E	E	Die Gartenlaube	Familienblatt	Ernst Keil	2	1	TRUE	325-330	Schicksale. Neue Novellen	1881	N	Neuer Deutscher Novellenschatz. Bd. 14	1886	N					Martin Ruhl								
00824-00	Wieland	Christoph Martin		m	Geschichte des Agathon			1766		R	R	Buch	Buch		2																						
00824-00	Wieland	Christoph Martin		m	Geschichte des Agathon			1766		R	R	Buch	Buch		2		0																				
00825-00	Wieland	Christoph Martin		m	Der goldene Spiegel			1772		R	R	Buch	Buch		2																						
00825-00	Wieland	Christoph Martin		m	Der goldene Spiegel			1772		R	R	Buch	Buch		2																						
00826-00	Arnim	Achim von		m	Armut, Reichtum, Schuld und Buße der Gräfin Dolores			1810		R	R	Buch	Buch		2																						
00826-00	Arnim	Achim von		m	Armut, Reichtum, Schuld und Buße der Gräfin Dolores			1810		R	R	Buch	Buch		2																						
00827-00	Arnim	Achim von		m	Der Kronenwächter Bd. 1			1817		R	R	Buch	Buch		2																						
00827-00	Arnim	Achim von		m	Der Kronenwächter Bd. 1			1817		R	R	Buch	Buch		2																						
00828-00	Arnim			m	Der Kronenwächter Bd. 2			1854	1815	R	R	Buch	Buch		2																						
00828-00	Arnim			m	Der Kronenwächter Bd. 2			1854	1815	R	R	Buch	Buch		2																						
00829-00	Goethe			m	Die wunderlichen Nachbarskinder			1809		N	N	Buch	Buch		3																						
00830-00	Mann			m	Buddenbrooks			1901		R	R	Buch	Buch		3																						
00831-00	Mann			m	Der Zauberberg			1924		R	R	Buch	Buch		3																						
00832-00	Schnitzler			m	Frau Bertha Garlan			1900		R	R	Buch	Buch		2																						
00833-00	Schnitzler			m	Therese			1928		R	R	Buch	Buch		2																						
00834-00	Musil			m	Der Mann ohne Eigenschaften			1930		R	R	Buch	Buch		3																						
00835-00	Kafka			m	Der Prozess			1925		R	R	Buch	Buch		3																						
00836-00	Mann			m	Köngliche Hoheit			1909		R	R	Buch	Buch		2																						
00837-00	Mann			m	Lotte in Weimar			1932		R	R	Buch	Buch		2																						
00838-00	Mann			m	Joseph und sein Brüder			1933	1943	R	R	Buch	Buch		2																						
00839-00	Ernst	Paul		m	Aus den Aufzeichnungen des Musikers			1912		N	N	Der Tod des Cosimo und andere Novellen	Anthologie		1		0																				
00840-00	Ernst	Paul		m	Das Gespenst			1912		N	N	Der Tod des Cosimo und andere Novellen	Anthologie		1		0																				
00841-00	Ernst	Paul		m	Das hölzerne Becherlein			1912		N	N	Der Tod des Cosimo und andere Novellen	Anthologie		1		0																				
00842-00	Ernst	Paul		m	Die Venus			1912		N	N	Der Tod des Cosimo und andere Novellen	Anthologie		1		0																				
00843-00	Ernst	Paul		m	Ein Eid			1912		N	N	Der Tod des Cosimo und andere Novellen	Anthologie		1		0																				
00844-00	Ernst	Paul		m	Der Tod des Dichters			1912		N	N	Der Tod des Cosimo und andere Novellen	Anthologie		1		0																				
00845-00	Ernst	Paul		m	Manto und Sextilius			1912		N	N	Der Tod des Cosimo und andere Novellen	Anthologie		1		0																				
00846-00	Ernst	Paul		m	Die Liebe des Flibustierführers			1912		N	N	Der Tod des Cosimo und andere Novellen	Anthologie		1		0																				
00847-00	Auerbach	Berthold		m	Auf Wache			1874		N	N	Deutsche Rundschau	Rundschau		2		FALSE																				
00848-00	Storm	Theodor		m	Waldwinkel			1874		N	N	Deutsche Rundschau	Rundschau		2		FALSE																				
00849-00	Heyse	Paul		m	Nerina			1874		N	N	Deutsche Rundschau	Rundschau		2		FALSE																				
